title,url,publish_date,period,sentiment
British International Investment agrees $52m loan to DBL Group - The Financial Express,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNRmp3UWRmZ1VmZkVzVXdBeGxHdDI4MHJSUDl6NF8yVWp3RlZpWU1QZHJYNzBhVHpBSFEzbUcyY1kxY21USFJLQXEwRkp6NnhKaDJEUGtKWkFVMVptdzN1WS1YdG13MlREd3JFQVI0ekpNTVE2RVB6VXMyWFZGRUhpMEtPekpYd2w4dDh1akVHcjVKallEM2wzOEZRVEdVZGJRUUpUd09XRFNxa2VLdzB6bjdUcDZBUWRaNG5LRUVwY1hXdWZUMzNYadIB1AFBVV95cUxNalhyXy16NjdhRm15UmFoLWxENXlIc0w4WHpEQVZPOTdxeTYtR3VHbFZ3a0kzS0FvXzhYRm1Xblc4dEFGOGZmT2pZeThIdlRWazA1OEowZGZ1WlN6NkJndFVZb2c2UTBCTS1xWm1JZHhLSWxtTmJVUU9SQzQxczlmNk5xS2hRNEZmMkY0dkkzWGNhejhmWXA5TllYZEZjdk53c3VlZWRadkJ2b0xzTjFFN2RUUmxvbUdId0dYM0w1ZXZxUGFwYWNrUVRLdjF6SDlCX21JMg?oc=5,2023-01-09,Pre-August-2024,Positive
How Bangladesh’s stock market remains an outlier - The Daily Star,https://news.google.com/rss/articles/CBMipgFBVV95cUxNZzc1MEVrT1N6bnpxTWw3Vnk1RmpLOHNySElHRUJmWXNXdTd6WlFxcmVHalNIanduclBvNTZLSUFmQjIyMHJTaEotT3NHMEt4SGN4ejVDakU1QmpsNWx1M2hRSGRucDFpTGRxVGxOaG50WHFzT0MwT2c5bVRsTExWT0tNejBSZlpIdVdndGRZRnNuUll3M21mZmowdXM5NDd1LXgwV0J3?oc=5,2023-01-10,Pre-August-2024,Neutral
Balance of payments under stress - The Daily Star,https://news.google.com/rss/articles/CBMikgFBVV95cUxQb0tma3RHY3l4TWpYX3J5bG1VcU9VMGRVc0tmQmhnbUJpdTF4VTVFQms1c2RjbHhtWmdJMEtHay0yeXpzYkZ2TXNPdHZZSUh1bEhXdGNoYklySVhVb1NTTGtGelJSTnpwdWp0d2hMVF9LUHp0STB5WVg2SVpleWtBUU1aQUhGU09FZnNNdEt1dlpoZw?oc=5,2023-01-08,Pre-August-2024,Negative
Motorcycle sales drop slightly in 2022 - The Daily Star,https://news.google.com/rss/articles/CBMimgFBVV95cUxPZ0VHUElVVjhzenM2aXBlemZwU1VhSVdQSkNkaVJTU1RPenZKVVZBRlFSLUpMcWJLUEd4VnJ3eTNNVm5OckJfU1Y4djkzMFY1OTlsYWFJUzRzYzl1YWM2MjJoRmJVZ1E4aDRuWXVwcGdLbmstMXRsOTMxRUNYbzd0U29RYkJObThDZUlZMzFIU0tHMldDWFNCVXp3?oc=5,2023-01-03,Pre-August-2024,Negative
Bangladesh expands cargo carrying capacity by sea - The Daily Star,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQOFhRMkh0RWU0LVVCTFkxeVl2bTBaSnltaVAzTkRwSlo0TWdSaGozRzByYlpUZGlkNzlaZ21OYWkzWFBTYmI5S3VYTTlibkhENTFibTA2eVZtV0hqZjNPdWtFVGNkNEFGYzA1OTFWVUdETkdhT0NlQllreHZ0ZGV1Mmp4clByNVJfZGx1Sm5PZTVFVEM2M1c5Tlh6LVhwaFZPbUVGZGNZb2E?oc=5,2023-01-10,Pre-August-2024,Positive
DHL Express launches first-ever network flight for Bangladesh - The Bangladesh Monitor,https://news.google.com/rss/articles/CBMisAFBVV95cUxONF9MWXF6MVhsM2Z4dFJwZVZzeURPWWcta2VMNTg0UFRnRmdQd2FGakhyRnE0dGN0cEJsbUdOeUNOZXd3dXNualhOUDBXcHNHeTZncmh3cVNGUEduaU00eHJZYXJpRHc0RldlQjVoeS05bGNFRFpxSkJ2dDVHVnIwMTBEcUdJVTMybXhHZ1pOc0FKdFpYQjdkeGI5QWZXTXRFN3RiWk1ETlBFOFRpSHMwdQ?oc=5,2023-01-18,Pre-August-2024,Neutral
Global innovation index: Bangladesh moves up 14 notches - The Daily Star,https://news.google.com/rss/articles/CBMijwFBVV95cUxONERsXy1UMTFtVkxyTk5VYUJ0WGF2SDRQclRZMW1mMVFZUEYzeUdfZkNkYVBKVHR4UkhPVWc5QzFqTm44NjhldVQ4bXVmUkZ4bDRzZVhGN2FHMGZQeW9xV3JVU3lNMmxnUHp0ZEtUUFlxdzBDYWRwdVEzOHJuVmktdmRWemZTTmhrLThidnNRNA?oc=5,2023-01-16,Pre-August-2024,Positive
Locally made Hyundai cars to hit the streets next week - The Daily Star,https://news.google.com/rss/articles/CBMirwFBVV95cUxOdzhFZFdiRXJQQzBWTkVTdG55RGtVQWpKcFoxM1NDczdwR011LVl1SGhsb25DZnhwY3NyZHYxYmM2V0xMYW9UN09VNlk3QTVXN2JCNlBLZmNDVkdtVFFSVHVJdmZGX09SbEhFam8zd0JHbElPczF1YjIzb2RMd21lOXpvdlBUaUxDb2pqSmw0YUxGenNBWENka09ZbmdIMm9jTUlqSWdFWmhERkw4MGlJ?oc=5,2023-01-20,Pre-August-2024,Neutral
"Locomotive workshop facing worker, fund shortages - The Daily Star",https://news.google.com/rss/articles/CBMiqwFBVV95cUxONjV2S2RWTG1OOFdiWV9yYkFKWkpITk5RYy0zUk51NmFsY250T2NWb0tQM0hUZlZjRVNZYkxISktJNWttTGVRV2xPUnp2V2FhREVwdzRWQjY2c2pSTk5Rc0tfeW9iR3o4dGFzTlRmaVYzeHhhN00zdDNrb3NTZlowQnRCWXVneC1mMTRiM0Y3NXVtUHd4YWsyaHdkc09rcE9mNWs2NDY1NDRNZkk?oc=5,2023-01-19,Pre-August-2024,Negative
Bangladesh wants MIGA-backed loans at 4% max - The Daily Star,https://news.google.com/rss/articles/CBMioAFBVV95cUxPcE1MTl95SXJobDdEdk9xeW11VjdURFFVWUdiSVV0Q1RwV002NVdIT25ULVIxTG9vcVBUVGFyYUtmZkN0d3JvazJBRGI4dk51V0pKb2FzUWxZRFpFYkI5Rm5RY0NmOGpVTmNkVU5sTlBlTk5wOTRVV1NhdkpmS2xHSjdtMFhaWnYxVEhKa3pXUURPWHllZTR5WmJPY0RzLXVW?oc=5,2023-01-20,Pre-August-2024,Neutral
