title,relevance_flag
No immediate fuel price hike,possibly irrelevant
Google Pay to launch in Bangladesh next week,likely relevant
Dreamliner fleet: Biman begins precautionary inspection,possibly irrelevant
Beijing has more at stake in Iran besides just oil,possibly irrelevant
FY26 budget is far from expectations,likely relevant
Losses mount as rough weather hits post-ban fishing,possibly irrelevant
Bangladesh to follow WTO mechanism to deal with Trump tariff,likely relevant
Distressed asset law in the making to tackle NPLs,possibly irrelevant
Idra opens special audits into 15 life insurers,possibly irrelevant
Ten banks hold 71% of total bad loans,likely relevant
Include CMAs in national audit framework: ICMAB president,possibly irrelevant
